Transaction Ref,Gross Amount,Currency Code,Captured At,Idempotency Key
TXN-3MVDXHQ-000000,18182.82,INR,2026-08-19T17:43:00.073Z,gw-3MVDXHQ-TXN-3MVDXHQ-000000
TXN-3MVDXHQ-000001,6465.12,INR,2026-08-19T17:43:00.140Z,gw-3MVDXHQ-TXN-3MVDXHQ-000001
TXN-3MVDXHQ-000002,8695.64,INR,2026-08-19T17:43:00.298Z,gw-3MVDXHQ-TXN-3MVDXHQ-000002
TXN-3MVDXHQ-000003,21750.41,INR,2026-08-19T17:43:00.303Z,gw-3MVDXHQ-TXN-3MVDXHQ-000003
TXN-3MVDXHQ-000004,24841.35,INR,2026-08-19T17:43:00.440Z,gw-3MVDXHQ-TXN-3MVDXHQ-000004
TXN-3MVDXHQ-000005,42049.91,INR,2026-08-19T17:43:00.565Z,gw-3MVDXHQ-TXN-3MVDXHQ-000005
TXN-3MVDXHQ-000006,22329.86,INR,2026-08-19T17:43:00.667Z,gw-3MVDXHQ-TXN-3MVDXHQ-000006
TXN-3MVDXHQ-000007,34259.62,INR,2026-08-19T17:43:00.775Z,gw-3MVDXHQ-TXN-3MVDXHQ-000007
TXN-3MVDXHQ-000008,22476.60,INR,2026-08-19T17:43:00.881Z,gw-3MVDXHQ-TXN-3MVDXHQ-000008
TXN-3MVDXHQ-000009,5464.71,INR,2026-08-19T17:43:00.935Z,gw-3MVDXHQ-TXN-3MVDXHQ-000009
TXN-3MVDXHQ-000010,29071.05,INR,2026-08-19T17:43:01.061Z,gw-3MVDXHQ-TXN-3MVDXHQ-000010
TXN-3MVDXHQ-000011,44172.54,INR,2026-08-19T17:43:01.172Z,gw-3MVDXHQ-TXN-3MVDXHQ-000011
TXN-3MVDXHQ-000012,29536.81,INR,2026-08-19T17:43:01.294Z,gw-3MVDXHQ-TXN-3MVDXHQ-000012
TXN-3MVDXHQ-000013,7809.59,INR,2026-08-19T17:43:01.365Z,gw-3MVDXHQ-TXN-3MVDXHQ-000013
TXN-3MVDXHQ-000014,7883.24,INR,2026-08-19T17:43:01.485Z,gw-3MVDXHQ-TXN-3MVDXHQ-000014
TXN-3MVDXHQ-000015,7194.87,INR,2026-08-19T17:43:01.519Z,gw-3MVDXHQ-TXN-3MVDXHQ-000015
TXN-3MVDXHQ-000016,15590.38,INR,2026-08-19T17:43:01.616Z,gw-3MVDXHQ-TXN-3MVDXHQ-000016
TXN-3MVDXHQ-000017,10080.76,INR,2026-08-19T17:43:01.799Z,gw-3MVDXHQ-TXN-3MVDXHQ-000017
TXN-3MVDXHQ-000018,25445.68,INR,2026-08-19T17:43:01.811Z,gw-3MVDXHQ-TXN-3MVDXHQ-000018
TXN-3MVDXHQ-000019,40472.49,INR,2026-08-19T17:43:01.988Z,gw-3MVDXHQ-TXN-3MVDXHQ-000019
TXN-3MVDXHQ-000020,1189.42,INR,2026-08-19T17:43:02.020Z,gw-3MVDXHQ-TXN-3MVDXHQ-000020
TXN-3MVDXHQ-000021,41892.19,INR,2026-08-19T17:43:02.178Z,gw-3MVDXHQ-TXN-3MVDXHQ-000021
TXN-3MVDXHQ-000022,20900.42,INR,2026-08-19T17:43:02.273Z,gw-3MVDXHQ-TXN-3MVDXHQ-000022
TXN-3MVDXHQ-000023,40069.77,INR,2026-08-19T17:43:02.305Z,gw-3MVDXHQ-TXN-3MVDXHQ-000023
TXN-3MVDXHQ-000024,38638.91,INR,2026-08-19T17:43:02.466Z,gw-3MVDXHQ-TXN-3MVDXHQ-000024
TXN-3MVDXHQ-000025,49805.03,INR,2026-08-19T17:43:02.559Z,gw-3MVDXHQ-TXN-3MVDXHQ-000025
TXN-3MVDXHQ-000026,3548.83,INR,2026-08-19T17:43:02.616Z,gw-3MVDXHQ-TXN-3MVDXHQ-000026
TXN-3MVDXHQ-000027,18633.29,INR,2026-08-19T17:43:02.771Z,gw-3MVDXHQ-TXN-3MVDXHQ-000027
TXN-3MVDXHQ-000028,48438.19,INR,2026-08-19T17:43:02.809Z,gw-3MVDXHQ-TXN-3MVDXHQ-000028
TXN-3MVDXHQ-000029,30337.97,INR,2026-08-19T17:43:02.973Z,gw-3MVDXHQ-TXN-3MVDXHQ-000029
TXN-3MVDXHQ-000030,38285.85,INR,2026-08-19T17:43:03.000Z,gw-3MVDXHQ-TXN-3MVDXHQ-000030
TXN-3MVDXHQ-000031,2162.46,INR,2026-08-19T17:43:03.195Z,gw-3MVDXHQ-TXN-3MVDXHQ-000031
TXN-3MVDXHQ-000032,25632.82,INR,2026-08-19T17:43:03.244Z,gw-3MVDXHQ-TXN-3MVDXHQ-000032
TXN-3MVDXHQ-000033,1677.38,INR,2026-08-19T17:43:03.309Z,gw-3MVDXHQ-TXN-3MVDXHQ-000033
TXN-3MVDXHQ-000034,25155.90,INR,2026-08-19T17:43:03.480Z,gw-3MVDXHQ-TXN-3MVDXHQ-000034
TXN-3MVDXHQ-000035,20366.84,INR,2026-08-19T17:43:03.501Z,gw-3MVDXHQ-TXN-3MVDXHQ-000035
TXN-3MVDXHQ-000036,23369.60,INR,2026-08-19T17:43:03.687Z,gw-3MVDXHQ-TXN-3MVDXHQ-000036
TXN-3MVDXHQ-000037,11118.74,INR,2026-08-19T17:43:03.711Z,gw-3MVDXHQ-TXN-3MVDXHQ-000037
TXN-3MVDXHQ-000038,42946.03,INR,2026-08-19T17:43:03.876Z,gw-3MVDXHQ-TXN-3MVDXHQ-000038
TXN-3MVDXHQ-000039,26639.84,INR,2026-08-19T17:43:03.901Z,gw-3MVDXHQ-TXN-3MVDXHQ-000039
TXN-3MVDXHQ-000040,32031.33,INR,2026-08-19T17:43:04.073Z,gw-3MVDXHQ-TXN-3MVDXHQ-000040
TXN-3MVDXHQ-000041,16637.54,INR,2026-08-19T17:43:04.150Z,gw-3MVDXHQ-TXN-3MVDXHQ-000041
TXN-3MVDXHQ-000042,102.45,INR,2026-08-19T17:43:04.289Z,gw-3MVDXHQ-TXN-3MVDXHQ-000042
TXN-3MVDXHQ-000043,6131.38,INR,2026-08-19T17:43:04.376Z,gw-3MVDXHQ-TXN-3MVDXHQ-000043
TXN-3MVDXHQ-000044,25962.23,INR,2026-08-19T17:43:04.494Z,gw-3MVDXHQ-TXN-3MVDXHQ-000044
TXN-3MVDXHQ-000045,53.43,INR,2026-08-19T17:43:04.592Z,gw-3MVDXHQ-TXN-3MVDXHQ-000045
TXN-3MVDXHQ-000046,3579.89,INR,2026-08-19T17:43:04.613Z,gw-3MVDXHQ-TXN-3MVDXHQ-000046
TXN-3MVDXHQ-000047,12836.49,INR,2026-08-19T17:43:04.775Z,gw-3MVDXHQ-TXN-3MVDXHQ-000047
TXN-3MVDXHQ-000048,32523.00,INR,2026-08-19T17:43:04.877Z,gw-3MVDXHQ-TXN-3MVDXHQ-000048
TXN-3MVDXHQ-000049,21935.34,INR,2026-08-19T17:43:04.994Z,gw-3MVDXHQ-TXN-3MVDXHQ-000049
TXN-3MVDXHQ-000050,46664.50,INR,2026-08-19T17:43:05.080Z,gw-3MVDXHQ-TXN-3MVDXHQ-000050
TXN-3MVDXHQ-000051,17700.19,INR,2026-08-19T17:43:05.115Z,gw-3MVDXHQ-TXN-3MVDXHQ-000051
TXN-3MVDXHQ-000052,45053.03,INR,2026-08-19T17:43:05.262Z,gw-3MVDXHQ-TXN-3MVDXHQ-000052
TXN-3MVDXHQ-000053,17420.92,INR,2026-08-19T17:43:05.372Z,gw-3MVDXHQ-TXN-3MVDXHQ-000053
TXN-3MVDXHQ-000054,13157.29,INR,2026-08-19T17:43:05.469Z,gw-3MVDXHQ-TXN-3MVDXHQ-000054
TXN-3MVDXHQ-000055,39006.80,INR,2026-08-19T17:43:05.551Z,gw-3MVDXHQ-TXN-3MVDXHQ-000055
TXN-3MVDXHQ-000056,19594.47,INR,2026-08-19T17:43:05.619Z,gw-3MVDXHQ-TXN-3MVDXHQ-000056
TXN-3MVDXHQ-000057,36860.09,INR,2026-08-19T17:43:05.755Z,gw-3MVDXHQ-TXN-3MVDXHQ-000057
TXN-3MVDXHQ-000058,27471.26,INR,2026-08-19T17:43:05.892Z,gw-3MVDXHQ-TXN-3MVDXHQ-000058
TXN-3MVDXHQ-000059,25053.46,INR,2026-08-19T17:43:05.966Z,gw-3MVDXHQ-TXN-3MVDXHQ-000059
TXN-3MVDXHQ-000060,27270.33,INR,2026-08-19T17:43:06.096Z,gw-3MVDXHQ-TXN-3MVDXHQ-000060
TXN-3MVDXHQ-000061,19364.30,INR,2026-08-19T17:43:06.113Z,gw-3MVDXHQ-TXN-3MVDXHQ-000061
TXN-3MVDXHQ-000062,43673.63,INR,2026-08-19T17:43:06.204Z,gw-3MVDXHQ-TXN-3MVDXHQ-000062
TXN-3MVDXHQ-000063,1568.64,INR,2026-08-19T17:43:06.308Z,gw-3MVDXHQ-TXN-3MVDXHQ-000063
TXN-3MVDXHQ-000064,28312.83,INR,2026-08-19T17:43:06.442Z,gw-3MVDXHQ-TXN-3MVDXHQ-000064
TXN-3MVDXHQ-000065,48640.52,INR,2026-08-19T17:43:06.528Z,gw-3MVDXHQ-TXN-3MVDXHQ-000065
TXN-3MVDXHQ-000066,35715.27,INR,2026-08-19T17:43:06.639Z,gw-3MVDXHQ-TXN-3MVDXHQ-000066
TXN-3MVDXHQ-000067,30074.84,INR,2026-08-19T17:43:06.786Z,gw-3MVDXHQ-TXN-3MVDXHQ-000067
TXN-3MVDXHQ-000068,10984.27,INR,2026-08-19T17:43:06.843Z,gw-3MVDXHQ-TXN-3MVDXHQ-000068
TXN-3MVDXHQ-000069,23127.32,INR,2026-08-19T17:43:06.957Z,gw-3MVDXHQ-TXN-3MVDXHQ-000069
TXN-3MVDXHQ-000070,35366.66,INR,2026-08-19T17:43:07.016Z,gw-3MVDXHQ-TXN-3MVDXHQ-000070
TXN-3MVDXHQ-000071,1979.07,INR,2026-08-19T17:43:07.184Z,gw-3MVDXHQ-TXN-3MVDXHQ-000071
TXN-3MVDXHQ-000072,46274.60,INR,2026-08-19T17:43:07.227Z,gw-3MVDXHQ-TXN-3MVDXHQ-000072
TXN-3MVDXHQ-000073,39124.93,INR,2026-08-19T17:43:07.337Z,gw-3MVDXHQ-TXN-3MVDXHQ-000073
TXN-3MVDXHQ-000074,36640.00,INR,2026-08-19T17:43:07.447Z,gw-3MVDXHQ-TXN-3MVDXHQ-000074
TXN-3MVDXHQ-000075,6615.57,INR,2026-08-19T17:43:07.573Z,gw-3MVDXHQ-TXN-3MVDXHQ-000075
TXN-3MVDXHQ-000076,43381.27,INR,2026-08-19T17:43:07.674Z,gw-3MVDXHQ-TXN-3MVDXHQ-000076
TXN-3MVDXHQ-000077,14171.89,INR,2026-08-19T17:43:07.745Z,gw-3MVDXHQ-TXN-3MVDXHQ-000077
TXN-3MVDXHQ-000078,24013.47,INR,2026-08-19T17:43:07.826Z,gw-3MVDXHQ-TXN-3MVDXHQ-000078
TXN-3MVDXHQ-000079,5389.90,INR,2026-08-19T17:43:07.917Z,gw-3MVDXHQ-TXN-3MVDXHQ-000079
TXN-3MVDXHQ-000080,44095.15,INR,2026-08-19T17:43:08.085Z,gw-3MVDXHQ-TXN-3MVDXHQ-000080
TXN-3MVDXHQ-000081,40327.26,INR,2026-08-19T17:43:08.162Z,gw-3MVDXHQ-TXN-3MVDXHQ-000081
TXN-3MVDXHQ-000082,14809.97,INR,2026-08-19T17:43:08.245Z,gw-3MVDXHQ-TXN-3MVDXHQ-000082
TXN-3MVDXHQ-000083,44618.51,INR,2026-08-19T17:43:08.348Z,gw-3MVDXHQ-TXN-3MVDXHQ-000083
TXN-3MVDXHQ-000084,18460.72,INR,2026-08-19T17:43:08.422Z,gw-3MVDXHQ-TXN-3MVDXHQ-000084
TXN-3MVDXHQ-000085,31021.01,INR,2026-08-19T17:43:08.569Z,gw-3MVDXHQ-TXN-3MVDXHQ-000085
TXN-3MVDXHQ-000085,31021.01,INR,2026-08-19T17:43:08.569Z,gw-3MVDXHQ-TXN-3MVDXHQ-000085
TXN-3MVDXHQ-000086,36242.93,INR,2026-08-19T17:43:08.627Z,gw-3MVDXHQ-TXN-3MVDXHQ-000086
TXN-3MVDXHQ-000087,1411.93,INR,2026-08-19T17:43:08.754Z,gw-3MVDXHQ-TXN-3MVDXHQ-000087
TXN-3MVDXHQ-000088,48995.32,INR,2026-08-19T17:43:08.853Z,gw-3MVDXHQ-TXN-3MVDXHQ-000088
TXN-3MVDXHQ-000089,48818.59,INR,2026-08-19T17:43:08.965Z,gw-3MVDXHQ-TXN-3MVDXHQ-000089
TXN-3MVDXHQ-000090,37582.52,INR,2026-08-19T17:43:09.043Z,gw-3MVDXHQ-TXN-3MVDXHQ-000090
TXN-3MVDXHQ-000091,40701.19,INR,2026-08-19T17:43:09.176Z,gw-3MVDXHQ-TXN-3MVDXHQ-000091
TXN-3MVDXHQ-000092,28760.92,INR,2026-08-19T17:43:09.273Z,gw-3MVDXHQ-TXN-3MVDXHQ-000092
TXN-3MVDXHQ-000093,25275.40,INR,2026-08-19T17:43:09.326Z,gw-3MVDXHQ-TXN-3MVDXHQ-000093
TXN-3MVDXHQ-000094,31795.63,INR,2026-08-19T17:43:09.436Z,gw-3MVDXHQ-TXN-3MVDXHQ-000094
TXN-3MVDXHQ-000095,14068.93,INR,2026-08-19T17:43:09.542Z,gw-3MVDXHQ-TXN-3MVDXHQ-000095
TXN-3MVDXHQ-000096,49427.34,INR,2026-08-19T17:43:09.634Z,gw-3MVDXHQ-TXN-3MVDXHQ-000096
TXN-3MVDXHQ-000097,34303.93,INR,2026-08-19T17:43:09.798Z,gw-3MVDXHQ-TXN-3MVDXHQ-000097
TXN-3MVDXHQ-000098,48293.56,INR,2026-08-19T17:43:09.813Z,gw-3MVDXHQ-TXN-3MVDXHQ-000098
TXN-3MVDXHQ-000099,27066.31,INR,2026-08-19T17:43:09.984Z,gw-3MVDXHQ-TXN-3MVDXHQ-000099
TXN-3MVDXHQ-000100,7077.66,INR,2026-08-19T17:43:10.053Z,gw-3MVDXHQ-TXN-3MVDXHQ-000100
TXN-3MVDXHQ-000101,48168.32,INR,2026-08-19T17:43:10.115Z,gw-3MVDXHQ-TXN-3MVDXHQ-000101
TXN-3MVDXHQ-000102,32869.83,INR,2026-08-19T17:43:10.211Z,gw-3MVDXHQ-TXN-3MVDXHQ-000102
TXN-3MVDXHQ-000103,9568.96,INR,2026-08-19T17:43:10.380Z,gw-3MVDXHQ-TXN-3MVDXHQ-000103
TXN-3MVDXHQ-000104,39882.29,INR,2026-08-19T17:43:10.441Z,gw-3MVDXHQ-TXN-3MVDXHQ-000104
TXN-3MVDXHQ-000105,13089.04,INR,2026-08-19T17:43:10.529Z,gw-3MVDXHQ-TXN-3MVDXHQ-000105
TXN-3MVDXHQ-000106,34286.30,INR,2026-08-19T17:43:10.615Z,gw-3MVDXHQ-TXN-3MVDXHQ-000106
TXN-3MVDXHQ-000107,9021.50,INR,2026-08-19T17:43:10.729Z,gw-3MVDXHQ-TXN-3MVDXHQ-000107
TXN-3MVDXHQ-000108,37487.60,INR,2026-08-19T17:43:10.819Z,gw-3MVDXHQ-TXN-3MVDXHQ-000108
TXN-3MVDXHQ-000109,14734.86,INR,2026-08-19T17:43:10.967Z,gw-3MVDXHQ-TXN-3MVDXHQ-000109
TXN-3MVDXHQ-000110,46007.23,INR,2026-08-19T17:43:11.092Z,gw-3MVDXHQ-TXN-3MVDXHQ-000110
TXN-3MVDXHQ-000111,30869.77,INR,2026-08-19T17:43:11.196Z,gw-3MVDXHQ-TXN-3MVDXHQ-000111
TXN-3MVDXHQ-000112,40639.23,INR,2026-08-19T17:43:11.212Z,gw-3MVDXHQ-TXN-3MVDXHQ-000112
TXN-3MVDXHQ-000113,24785.33,INR,2026-08-19T17:43:11.361Z,gw-3MVDXHQ-TXN-3MVDXHQ-000113
TXN-3MVDXHQ-000114,37718.94,INR,2026-08-19T17:43:11.430Z,gw-3MVDXHQ-TXN-3MVDXHQ-000114
TXN-3MVDXHQ-000115,13226.29,INR,2026-08-19T17:43:11.530Z,gw-3MVDXHQ-TXN-3MVDXHQ-000115
TXN-3MVDXHQ-000116,15784.61,INR,2026-08-19T17:43:11.642Z,gw-3MVDXHQ-TXN-3MVDXHQ-000116
TXN-3MVDXHQ-000117,28851.90,INR,2026-08-19T17:43:11.741Z,gw-3MVDXHQ-TXN-3MVDXHQ-000117
TXN-3MVDXHQ-000118,34786.12,INR,2026-08-19T17:43:11.852Z,gw-3MVDXHQ-TXN-3MVDXHQ-000118
TXN-3MVDXHQ-000119,42365.57,INR,2026-08-19T17:43:11.924Z,gw-3MVDXHQ-TXN-3MVDXHQ-000119
TXN-3MVDXHQ-000120,6974.17,INR,2026-08-19T17:43:12.030Z,gw-3MVDXHQ-TXN-3MVDXHQ-000120
TXN-3MVDXHQ-000121,4663.91,INR,2026-08-19T17:43:12.169Z,gw-3MVDXHQ-TXN-3MVDXHQ-000121
TXN-3MVDXHQ-000122,45453.99,INR,2026-08-19T17:43:12.238Z,gw-3MVDXHQ-TXN-3MVDXHQ-000122
TXN-3MVDXHQ-000123,35567.29,INR,2026-08-19T17:43:12.325Z,gw-3MVDXHQ-TXN-3MVDXHQ-000123
TXN-3MVDXHQ-000124,6010.55,INR,2026-08-19T17:43:12.474Z,gw-3MVDXHQ-TXN-3MVDXHQ-000124
