entry_id,txn_reference,posted_value,ccy,posted_at
ENTRY-TXN-0003MV-00000000,TXN-0003MV-00000000,18182.82,INR,2026-08-19T17:43:00.426Z
ENTRY-TXN-0003MV-00000001,TXN-0003MV-00000001,6465.12,INR,2026-08-19T17:43:00.788Z
ENTRY-TXN-0003MV-00000002,TXN-0003MV-00000002,8695.64,INR,2026-08-19T17:43:00.781Z
ENTRY-TXN-0003MV-00000003,TXN-0003MV-00000003,21750.41,INR,2026-08-19T17:43:00.875Z
ENTRY-TXN-0003MV-00000004,TXN-0003MV-00000004,24841.35,INR,2026-08-19T17:43:01.230Z
ENTRY-TXN-0003MV-00000005,TXN-0003MV-00000005,42049.91,INR,2026-08-19T17:43:01.248Z
ENTRY-TXN-0003MV-00000006,TXN-0003MV-00000006,22329.86,INR,2026-08-19T17:43:01.170Z
ENTRY-TXN-0003MV-00000007,TXN-0003MV-00000007,34259.62,INR,2026-08-19T17:43:01.569Z
ENTRY-TXN-0003MV-00000008,TXN-0003MV-00000008,22476.60,INR,2026-08-19T17:43:01.692Z
ENTRY-TXN-0003MV-00000009,TXN-0003MV-00000009,5464.71,INR,2026-08-19T17:43:01.521Z
ENTRY-TXN-0003MV-00000010,TXN-0003MV-00000010,29071.05,INR,2026-08-19T17:43:01.579Z
ENTRY-TXN-0003MV-00000011,TXN-0003MV-00000011,44172.54,INR,2026-08-19T17:43:01.858Z
ENTRY-TXN-0003MV-00000013,TXN-0003MV-00000013,7750.42,INR,2026-08-19T17:43:01.794Z
ENTRY-TXN-0003MV-00000014,TXN-0003MV-00000014,7883.24,INR,2026-08-19T17:43:02.197Z
ENTRY-TXN-0003MV-00000015,TXN-0003MV-00000015,7194.87,INR,2026-08-19T17:43:02.402Z
ENTRY-TXN-0003MV-00000016,TXN-0003MV-00000016,15590.38,INR,2026-08-19T17:43:02.099Z
ENTRY-TXN-0003MV-00000017,TXN-0003MV-00000017,10080.76,INR,2026-08-19T17:43:02.632Z
ENTRY-TXN-0003MV-00000018,TXN-0003MV-00000018,25265.37,INR,2026-08-19T17:43:02.367Z
ENTRY-TXN-0003MV-00000019,TXN-0003MV-00000019,40472.49,INR,2026-08-19T17:43:02.703Z
ENTRY-TXN-0003MV-00000020,TXN-0003MV-00000020,1189.42,INR,2026-08-19T17:43:02.365Z
ENTRY-TXN-0003MV-00000021,TXN-0003MV-00000021,42102.89,INR,2026-08-19T17:43:02.995Z
ENTRY-TXN-0003MV-00000022,TXN-0003MV-00000022,20900.42,INR,2026-08-19T17:43:02.857Z
ENTRY-TXN-0003MV-00000023,TXN-0003MV-00000023,40069.77,INR,2026-08-19T17:43:03.046Z
ENTRY-TXN-0003MV-00000024,TXN-0003MV-00000024,38638.91,INR,2026-08-19T17:43:03.199Z
ENTRY-TXN-0003MV-00000025,TXN-0003MV-00000025,49805.03,INR,2026-08-19T17:43:03.328Z
ENTRY-TXN-0003MV-00000026,TXN-0003MV-00000026,3548.83,INR,2026-08-19T17:43:03.057Z
ENTRY-TXN-0003MV-00000027,TXN-0003MV-00000027,18633.29,INR,2026-08-19T17:43:03.440Z
ENTRY-TXN-0003MV-00000028,TXN-0003MV-00000028,48438.19,INR,2026-08-19T17:43:03.519Z
ENTRY-TXN-0003MV-00000029,TXN-0003MV-00000029,30337.97,INR,2026-08-19T17:43:03.731Z
ENTRY-TXN-0003MV-00000030,TXN-0003MV-00000030,38285.85,INR,2026-08-19T17:43:03.525Z
ENTRY-TXN-0003MV-00000031,TXN-0003MV-00000031,2162.46,INR,2026-08-19T17:43:03.999Z
ENTRY-TXN-0003MV-00000032,TXN-0003MV-00000032,25632.82,INR,2026-08-19T17:43:03.809Z
ENTRY-TXN-0003MV-00000033,TXN-0003MV-00000033,1677.38,INR,2026-08-19T17:43:04.379Z
ENTRY-TXN-0003MV-00000034,TXN-0003MV-00000034,25155.90,INR,2026-08-19T17:43:04.290Z
ENTRY-TXN-0003MV-00000035,TXN-0003MV-00000035,20366.84,INR,2026-08-19T17:43:04.062Z
ENTRY-TXN-0003MV-00000036,TXN-0003MV-00000036,23369.60,INR,2026-08-19T17:43:04.233Z
ENTRY-TXN-0003MV-00000037,TXN-0003MV-00000037,11118.74,INR,2026-08-19T17:43:04.362Z
ENTRY-TXN-0003MV-00000038,TXN-0003MV-00000038,42946.03,INR,2026-08-19T17:43:04.734Z
ENTRY-TXN-0003MV-00000039,TXN-0003MV-00000039,26639.84,INR,2026-08-19T17:43:04.292Z
ENTRY-TXN-0003MV-00000040,TXN-0003MV-00000040,32031.33,INR,2026-08-19T17:43:04.475Z
ENTRY-TXN-0003MV-00000041,TXN-0003MV-00000041,16637.54,INR,2026-08-19T17:43:04.857Z
ENTRY-TXN-0003MV-00000042,TXN-0003MV-00000042,102.45,INR,2026-08-19T17:43:05.468Z
ENTRY-TXN-0003MV-00000043,TXN-0003MV-00000043,6131.38,INR,2026-08-19T17:43:04.911Z
ENTRY-TXN-0003MV-00000044,TXN-0003MV-00000044,25962.23,INR,2026-08-19T17:43:05.209Z
ENTRY-TXN-0003MV-00000045,TXN-0003MV-00000045,53.43,INR,2026-08-19T17:43:04.711Z
ENTRY-TXN-0003MV-00000046,TXN-0003MV-00000046,3579.89,INR,2026-08-19T17:43:04.773Z
ENTRY-TXN-0003MV-00000047,TXN-0003MV-00000047,12836.49,INR,2026-08-19T17:43:05.630Z
ENTRY-TXN-0003MV-00000048,TXN-0003MV-00000048,32523.00,INR,2026-08-19T17:43:05.461Z
ENTRY-TXN-0003MV-00000049,TXN-0003MV-00000049,21935.34,INR,2026-08-19T17:43:05.588Z
ENTRY-TXN-0003MV-00000050,TXN-0003MV-00000050,46664.50,INR,2026-08-19T17:43:05.693Z
ENTRY-TXN-0003MV-00000052,TXN-0003MV-00000052,45053.03,INR,2026-08-19T17:43:06.105Z
ENTRY-TXN-0003MV-00000053,TXN-0003MV-00000053,17420.92,INR,2026-08-19T17:43:05.892Z
ENTRY-TXN-0003MV-00000054,TXN-0003MV-00000054,13157.29,INR,2026-08-19T17:43:05.887Z
ENTRY-TXN-0003MV-00000055,TXN-0003MV-00000055,39006.80,INR,2026-08-19T17:43:06.209Z
ENTRY-TXN-0003MV-00000056,TXN-0003MV-00000056,19668.78,INR,2026-08-19T17:43:06.320Z
ENTRY-TXN-0003MV-00000057,TXN-0003MV-00000057,36860.09,INR,2026-08-19T17:43:06.265Z
ENTRY-TXN-0003MV-00000059,TXN-0003MV-00000059,25053.46,INR,2026-08-19T17:43:06.777Z
ENTRY-TXN-0003MV-00000060,TXN-0003MV-00000060,27270.33,INR,2026-08-19T17:43:06.536Z
ENTRY-TXN-0003MV-00000061,TXN-0003MV-00000061,19364.30,INR,2026-08-19T17:43:06.503Z
ENTRY-TXN-0003MV-00000062,TXN-0003MV-00000062,43673.63,INR,2026-08-19T17:43:06.777Z
ENTRY-TXN-0003MV-00000064,TXN-0003MV-00000064,28227.07,INR,2026-08-19T17:43:07.039Z
ENTRY-TXN-0003MV-00000065,TXN-0003MV-00000065,48640.52,INR,2026-08-19T17:43:06.944Z
ENTRY-TXN-0003MV-00000066,TXN-0003MV-00000066,35715.27,INR,2026-08-19T17:43:07.163Z
ENTRY-TXN-0003MV-00000067,TXN-0003MV-00000067,30074.84,INR,2026-08-19T17:43:07.424Z
ENTRY-TXN-0003MV-00000068,TXN-0003MV-00000068,10984.27,INR,2026-08-19T17:43:07.325Z
ENTRY-TXN-0003MV-00000069,TXN-0003MV-00000069,23127.32,INR,2026-08-19T17:43:07.653Z
ENTRY-TXN-0003MV-00000070,TXN-0003MV-00000070,35366.66,INR,2026-08-19T17:43:07.838Z
ENTRY-TXN-0003MV-00000071,TXN-0003MV-00000071,1979.07,INR,2026-08-19T17:43:07.590Z
ENTRY-TXN-0003MV-00000072,TXN-0003MV-00000072,46274.60,INR,2026-08-19T17:43:08.141Z
ENTRY-TXN-0003MV-00000073,TXN-0003MV-00000073,39124.93,INR,2026-08-19T17:43:07.969Z
ENTRY-TXN-0003MV-00000074,TXN-0003MV-00000074,36640.00,INR,2026-08-19T17:43:08.021Z
ENTRY-TXN-0003MV-00000075,TXN-0003MV-00000075,6615.57,INR,2026-08-19T17:43:08.255Z
ENTRY-TXN-0003MV-00000076,TXN-0003MV-00000076,43381.27,INR,2026-08-19T17:43:08.031Z
